country_iso3,gdp_us_dollar,inflation_rate,gdp_growth,colonizer,area,landlocked,continent,langoff_1,population,gdp_per_capita,life_expectancy,gni_atlas,agriculture_forestry_fishing_of_gdp,industry_of_gdp,merchandise_of_gdp,net_barter_of_trade,foreign_direct_investment_inflows,happiness
CMR,29375448542.0,2.93969946305094,4.129277161,DEU,475442,0,Africa,French,20906392,1405.0941234837,55.581,28301211348.4838,13.4796522667294,27.1917734843232,38.5253691825243,162.0134115,653266626.571786,0.576
COG,15655384440.0,1.75958704273802,2.205919363,FRA,342000,0,Africa,French,4394842,3557.5561698838,60.785,11888355208.9593,3.98393619152519,65.8738951997526,133.272381880612,211.3521221,298288001.186385,0.3
COL,334943871932.0,3.41758959146978,6.947891982,NONE,1141748,0,America,Spanish,45662747,7335.16693447605,75.655,288298910920.525,6.09169610822214,33.3021551703247,33.1840673361087,183.9168246,14647048638.4496,0.831
COM,1023086184.0,1.84266300756184,4.099846955,NONE,1862,0,Africa,Arabic,706578,1447.9452695898,62.24,993296175.694369,30.5642208431509,11.6973085985464,29.6162706984114,97.90297633,23118440.5401981,0.681
CRI,42262697840.0,4.87814554580439,4.30710166,NONE,51076,0,America,Spanish,4633086,9229.83451670274,78.919,37492156415.4824,5.59987212230861,22.5898706745828,62.2693413482054,99.8176767,2733268839.98155,0.251
CYP,27565469098.0,3.28944939564212,0.4014379411,NONE,9251,0,Europe,Greek,1124837,32396.3857437121,79.621,27699896670.6139,2.1512815738882,12.7616461579395,38.0766239191744,96.55800006,40445860585.079,0.737
CZE,229562733399.0,1.91721913635547,1.760359624,NONE,78864,1,Europe,Czech,10496088,21871.2660754128,77.8731707317073,204241686348.433,1.98251099186352,33.6505738219241,137.245272930456,102.7946126,4188736491.29368,0.249
DEU,3744408602684.0,2.07517452479837,3.925192705,DEU,357325,0,Europe,German,80274983,46644.776027968,80.4365853658537,3790949464137.69,0.910022423855418,27.0689719182049,72.8781041162014,93.15072087,97535403952.55,0.865
DNK,344003137611.0,2.75868226051246,1.336777767,NONE,43094,0,Europe,Danish,5570572,61753.647131977,79.8,345316374125.449,1.31213398990708,20.2546986056117,60.3270660381327,100.0856174,13558894634.3461,0.647
DOM,58029750744.0,5.79671466946105,3.133423005,NONE,48734,0,America,Spanish,9813219,5913.42664885493,72.284,54323476321.159,5.63686024937601,28.3955428840411,44.6340018131851,100.2990038,2197500000.0,0.293
DZA,200254371997.0,4.52421150505276,2.9,FRA,2381741,0,Africa,Arabic,36661438,5455.67902952706,75.199,168503780186.533,8.11059043573339,49.6247703075793,60.3640647190591,262.5470485,2571237024.68517,0.542
ECU,79276664000.0,4.47453265795836,7.868140919,NONE,275716,0,America,Spanish,15243885,5200.55510783504,75.289,74306191580.7519,9.60111666656407,37.6346398733428,58.983309388498,167.2646926,646084358.687904,0.837
EGY,235989672978.0,10.0649259874818,1.764571949,GBR,1001449,0,Africa,Arabic,84529251,2791.81076592794,70.543,216784268952.982,13.8691050980964,35.9517175990081,37.8961498067245,148.8186622,-482700000.0,0.522
ESP,1478772824224.0,3.19614641224106,-0.8143734552,ESP,505954,0,Europe,Spanish,46742697,31636.4463142558,82.4756097560976,1446763629297.07,2.37327299407857,22.0811402539851,46.1975625200227,90.06163588,26832032514.651,0.804
EST,23391530006.0,4.9819013145361,7.443936104,NONE,45227,0,Europe,Estonian,1327439,17624.0445588254,76.2292682926829,21228875686.6824,3.64664306166828,25.4901539015155,146.04927425752,96.53669807,1119148299.05952,0.558
ETH,31952763089.0,32.0147888188887,11.17829623,ITA,1127127,1,Africa,Amharic,90139928,354.4795719088,62.505,35237153539.824,41.2499638574537,9.6646421928884,36.8387546550886,145.3578014,628624805.998665,0.732
FIN,275243697751.0,3.42,2.547664838,NONE,336593,0,Europe,Swedish,5388272,51081.9976703127,80.4707317073171,270247052544.513,2.32123556803604,25.0310609198073,59.3677534981451,88.13399445,-6008001205.17497,0.857
FRA,2861408170265.0,2.11159795174997,2.192700633,FRA,547026,0,Europe,French,65342789,43790.7260166781,82.1146341463415,2898076657272.04,1.6502871934041,17.978166208294,46.0088502465644,89.9334023,44205811126.5792,0.768
GAB,18210308748.0,1.2633170783742,7.091753343,FRA,267667,0,Africa,French,1684629,10809.6849503904,62.168,13678642470.7344,3.43228977977158,60.8812104603294,73.7549274185716,226.3663882,1123536918.98497,0.456
GBR,2659310054646.0,3.85611244682819,1.540147403,GBR,244110,0,Europe,English,63258810,42047.6142522206,80.9512195121951,2597504876826.65,0.696988990694164,18.7163018080994,44.7884147366718,101.0184871,27012050072.3452,0.873
